year,month,day,rainfall,status,date
2025,4,15,0.0,None,2025-04-15
2025,4,16,0.0,None,2025-04-16
2025,4,17,3.0,Low,2025-04-17
2025,4,18,3.0,Low,2025-04-18
2025,4,19,0.0,None,2025-04-19
2025,4,20,1.0,None,2025-04-20
2025,4,21,0.0,None,2025-04-21
2025,4,22,0.0,None,2025-04-22
2025,4,23,9.0,Low,2025-04-23
2025,4,24,0.0,None,2025-04-24
2025,4,25,0.4,None,2025-04-25
2025,4,26,12.0,Moderate,2025-04-26
2025,4,27,0.0,None,2025-04-27
2025,4,28,0.0,None,2025-04-28
2025,4,29,16.0,Moderate,2025-04-29
2025,4,30,0.0,None,2025-04-30
2025,5,1,0.0,None,2025-05-01
2025,5,2,0.6,None,2025-05-02
2025,5,3,4.0,Low,2025-05-03
2025,5,4,0.0,None,2025-05-04
2025,5,5,0.0,None,2025-05-05
2025,5,6,0.0,None,2025-05-06
2025,5,7,0.0,None,2025-05-07
2025,5,8,0.0,None,2025-05-08
2025,5,9,0.0,None,2025-05-09
2025,5,10,0.0,None,2025-05-10
2025,5,11,0.0,None,2025-05-11
2025,5,12,0.0,None,2025-05-12
2025,5,13,10.0,Moderate,2025-05-13
2025,5,14,2.0,Low,2025-05-14
2025,5,15,15.0,Moderate,2025-05-15
2025,5,16,0.0,None,2025-05-16
2025,5,17,17.0,Moderate,2025-05-17
2025,5,18,1.0,None,2025-05-18
2025,5,19,12.0,Moderate,2025-05-19
2025,5,20,0.0,None,2025-05-20
2025,5,21,14.0,Moderate,2025-05-21
2025,5,22,25.0,High,2025-05-22
2025,5,23,10.0,Moderate,2025-05-23
2025,5,24,0.0,None,2025-05-24
2025,5,25,0.0,None,2025-05-25
2025,5,26,0.4,None,2025-05-26
2025,5,27,0.0,None,2025-05-27
2025,5,28,0.0,None,2025-05-28
2025,5,29,61.0,Heavy,2025-05-29
2025,5,30,0.6,None,2025-05-30
2025,5,31,0.2,None,2025-05-31
2025,6,1,0.0,None,2025-06-01
2025,6,2,0.0,None,2025-06-02
2025,6,3,0.1,None,2025-06-03
2025,6,4,4.0,Low,2025-06-04
2025,6,5,0.0,None,2025-06-05
2025,6,6,41.0,High,2025-06-06
2025,6,7,0.0,None,2025-06-07
2025,6,8,0.0,None,2025-06-08
2025,6,9,0.0,None,2025-06-09
2025,6,10,26.0,High,2025-06-10
2025,6,11,0.0,None,2025-06-11
2025,6,12,0.1,None,2025-06-12
2025,6,13,0.0,None,2025-06-13
2025,6,14,22.0,Moderate,2025-06-14
2025,6,15,0.0,None,2025-06-15
2025,6,16,0.0,None,2025-06-16
2025,6,17,46.0,High,2025-06-17
2025,6,18,30.0,High,2025-06-18
2025,6,19,0.0,None,2025-06-19
2025,6,20,15.0,Moderate,2025-06-20
2025,6,21,4.0,Low,2025-06-21
2025,6,22,0.1,None,2025-06-22
2025,6,23,0.0,None,2025-06-23
2025,6,24,0.0,None,2025-06-24
2025,6,25,0.0,None,2025-06-25
2025,6,26,0.0,None,2025-06-26
2025,6,27,0.0,None,2025-06-27
2025,6,28,23.0,Moderate,2025-06-28
2025,6,29,0.6,None,2025-06-29
2025,6,30,2.0,Low,2025-06-30
2025,7,1,38.0,High,2025-07-01
2025,7,2,7.0,Low,2025-07-02
2025,7,3,6.0,Low,2025-07-03
2025,7,4,0.0,None,2025-07-04
2025,7,5,26.0,High,2025-07-05
2025,7,6,57.0,Heavy,2025-07-06
2025,7,7,55.0,Heavy,2025-07-07
2025,7,8,11.0,Moderate,2025-07-08
2025,7,9,0.0,None,2025-07-09
2025,7,10,0.0,None,2025-07-10
2025,7,11,0.0,None,2025-07-11
2025,7,12,0.0,None,2025-07-12
2025,7,13,0.0,None,2025-07-13
2025,7,14,0.0,None,2025-07-14
2025,7,15,0.0,None,2025-07-15
2025,7,16,0.0,None,2025-07-16
2025,7,17,0.0,None,2025-07-17
2025,7,18,0.0,None,2025-07-18
2025,7,19,0.0,None,2025-07-19
2025,7,20,0.0,None,2025-07-20
2025,7,21,3.0,Low,2025-07-21
2025,7,22,0.0,None,2025-07-22
2025,7,23,0.0,None,2025-07-23
2025,7,24,0.0,None,2025-07-24
2025,7,25,0.0,None,2025-07-25
2025,7,26,0.0,None,2025-07-26
2025,7,27,0.0,None,2025-07-27
2025,7,28,18.0,Moderate,2025-07-28
2025,7,29,0.0,None,2025-07-29
2025,7,30,0.0,None,2025-07-30
2025,7,31,0.6,None,2025-07-31
2025,8,1,0.0,None,2025-08-01
2025,8,2,0.0,None,2025-08-02
2025,8,3,0.0,None,2025-08-03
2025,8,4,1.2,None,2025-08-04
2025,8,5,18.0,Moderate,2025-08-05
2025,8,6,0.0,None,2025-08-06
2025,8,7,10.0,Moderate,2025-08-07
2025,8,8,0.6,None,2025-08-08
2025,8,9,0.0,None,2025-08-09
2025,8,10,0.0,None,2025-08-10
2025,8,11,0.0,None,2025-08-11
2025,8,12,33.0,High,2025-08-12
2025,8,13,8.0,Low,2025-08-13
2025,8,14,2.0,Low,2025-08-14
2025,8,15,0.4,None,2025-08-15
2025,8,16,0.0,None,2025-08-16
2025,8,17,0.0,None,2025-08-17
2025,8,18,4.1,Low,2025-08-18
2025,8,19,10.0,Moderate,2025-08-19
2025,8,20,3.4,Low,2025-08-20
2025,8,21,0.0,None,2025-08-21
2025,8,22,0.2,None,2025-08-22
2025,8,23,0.6,None,2025-08-23
2025,8,24,0.2,None,2025-08-24
2025,8,25,9.0,Low,2025-08-25
2025,8,26,0.1,None,2025-08-26
2025,8,27,0.0,None,2025-08-27
2025,8,28,1.0,None,2025-08-28
2025,8,29,2.8,Low,2025-08-29
2025,8,30,3.9,Low,2025-08-30
2025,8,31,5.6,Low,2025-08-31
2025,9,1,0.0,None,2025-09-01
2025,9,2,0.0,None,2025-09-02
2025,9,3,0.0,None,2025-09-03
2025,9,4,0.0,None,2025-09-04
2025,9,5,4.5,Low,2025-09-05
2025,9,6,14.0,Moderate,2025-09-06
2025,9,7,0.4,None,2025-09-07
2025,9,8,0.9,None,2025-09-08
2025,9,9,7.5,Low,2025-09-09
2025,9,10,5.3,Low,2025-09-10
2025,9,11,23.0,Moderate,2025-09-11
2025,9,12,11.0,Moderate,2025-09-12
2025,9,13,3.5,Low,2025-09-13
2025,9,14,0.7,None,2025-09-14
2025,9,15,0.4,None,2025-09-15
2025,9,16,6.2,Low,2025-09-16
2025,9,17,13.0,Moderate,2025-09-17
2025,9,18,2.8,Low,2025-09-18
2025,9,19,15.0,Moderate,2025-09-19
2025,9,20,7.8,Low,2025-09-20
2025,9,21,1.8,None,2025-09-21
2025,9,22,1.4,None,2025-09-22
2025,9,23,1.9,None,2025-09-23
2025,9,24,0.0,None,2025-09-24
2025,9,25,0.7,None,2025-09-25
2025,9,26,0.2,None,2025-09-26
2025,9,27,2.5,Low,2025-09-27
2025,9,28,1.4,None,2025-09-28
2025,9,29,25.0,Moderate,2025-09-29
2025,9,30,3.9,Low,2025-09-30
2025,10,1,6.7,Low,2025-10-01
2025,10,2,28.0,High,2025-10-02
2025,10,3,2.5,Low,2025-10-03
2025,10,4,0.5,None,2025-10-04
2025,10,5,3.2,Low,2025-10-05
2025,10,6,4.6,Low,2025-10-06
2025,10,7,15.0,Moderate,2025-10-07
2025,10,8,2.8,Low,2025-10-08
2025,10,9,0.4,None,2025-10-09
2025,10,10,0.5,None,2025-10-10
2025,10,11,0.6,None,2025-10-11
2025,10,12,0.7,None,2025-10-12
2025,10,13,11.0,Moderate,2025-10-13
2025,10,14,2.2,Low,2025-10-14
2025,10,15,1.8,None,2025-10-15
2025,10,16,4.0,Low,2025-10-16
2025,10,17,15.0,Moderate,2025-10-17
2025,10,18,2.5,Low,2025-10-18
2025,10,19,0.8,None,2025-10-19
2025,10,20,2.1,Low,2025-10-20
2025,10,21,4.0,Low,2025-10-21
2025,10,22,6.4,Low,2025-10-22
2025,10,23,6.5,Low,2025-10-23
2025,10,24,52.0,Heavy,2025-10-24
2025,10,25,6.0,Low,2025-10-25
2025,10,26,16.0,Moderate,2025-10-26
2025,10,27,1.9,None,2025-10-27
2025,10,28,19.0,Moderate,2025-10-28
2025,10,29,15.0,Moderate,2025-10-29
2025,10,30,5.7,Low,2025-10-30
2025,10,31,2.8,Low,2025-10-31
2025,11,1,2.1,Low,2025-11-01
2025,11,2,6.6,Low,2025-11-02
2025,11,3,12.0,Moderate,2025-11-03
2025,11,4,2.3,Low,2025-11-04
2025,11,5,0.7,None,2025-11-05
2025,11,6,3.0,Low,2025-11-06
2025,11,7,1.9,None,2025-11-07
